processes, tasks, time
2, 2, 315
3, 2, 353
4, 2, 584
5, 2, 624
6, 2, 630
7, 2, 645
8, 2, 871
9, 2, 907
10, 2, 911
11, 2, 912
12, 2, 930
2, 3, 362
3, 3, 624
4, 3, 633
5, 3, 654
6, 3, 910
7, 3, 915
8, 3, 928
9, 3, 946
10, 3, 987
11, 3, 1271
12, 3, 1269
2, 4, 374
3, 4, 416
4, 4, 646
5, 4, 685
6, 4, 692
7, 4, 713
8, 4, 939
9, 4, 981
10, 4, 987
11, 4, 985
12, 4, 996
2, 5, 420
3, 5, 637
4, 5, 899
5, 5, 901
6, 5, 918
7, 5, 1172
8, 5, 1169
9, 5, 1171
10, 5, 1182
11, 5, 1175
12, 5, 1206
2, 6, 422
3, 6, 688
4, 6, 695
5, 6, 717
6, 6, 958
7, 6, 962
8, 6, 979
9, 6, 992
10, 6, 998
11, 6, 1260
12, 6, 1263
2, 7, 496
3, 7, 781
4, 7, 802
5, 7, 1051
6, 7, 1063
7, 7, 1093
8, 7, 1097
9, 7, 1102
10, 7, 1264
11, 7, 1267
12, 7, 1265
2, 8, 451
3, 8, 493
4, 8, 717
5, 8, 765
6, 8, 783
7, 8, 804
8, 8, 1027
9, 8, 1113
10, 8, 1097
11, 8, 1092
12, 8, 1091
