processes, tasks, time
2, 2, 313
3, 2, 352
4, 2, 581
5, 2, 620
6, 2, 625
7, 2, 648
8, 2, 881
9, 2, 924
10, 2, 926
11, 2, 928
12, 2, 931
2, 3, 360
3, 3, 619
4, 3, 625
5, 3, 645
6, 3, 901
7, 3, 908
8, 3, 926
9, 3, 939
10, 3, 945
11, 3, 1176
12, 3, 1174
2, 4, 375
3, 4, 416
4, 4, 643
5, 4, 683
6, 4, 691
7, 4, 715
8, 4, 941
9, 4, 982
10, 4, 982
11, 4, 981
12, 4, 990
2, 5, 420
3, 5, 639
4, 5, 896
5, 5, 900
6, 5, 919
7, 5, 1172
8, 5, 1165
9, 5, 1170
10, 5, 1173
11, 5, 1174
12, 5, 1214
2, 6, 423
3, 6, 694
4, 6, 697
5, 6, 721
6, 6, 962
7, 6, 971
8, 6, 979
9, 6, 1000
10, 6, 1011
11, 6, 1261
12, 6, 1259
2, 7, 493
3, 7, 785
4, 7, 802
5, 7, 1055
6, 7, 1057
7, 7, 1089
8, 7, 1097
9, 7, 1093
10, 7, 1267
11, 7, 1269
12, 7, 1269
2, 8, 510
3, 8, 554
4, 8, 778
5, 8, 813
6, 8, 822
7, 8, 846
8, 8, 1034
9, 8, 1110
10, 8, 1089
11, 8, 1114
12, 8, 1092
