processes, threads, time
2, 2, 198.223500
2, 3, 198.995050
2, 4, 199.104113
2, 5, 273.446575
2, 6, 342.013425
2, 7, 430.880337
2, 8, 496.586163
2, 9, 556.910800
2, 10, 646.258625
2, 11, 741.750863
2, 12, 785.662937
4, 2, 422.942750
4, 3, 387.788394
4, 4, 385.910756
4, 5, 486.103594
4, 6, 387.965944
4, 7, 423.458537
4, 8, 489.940694
4, 9, 567.322131
4, 10, 642.124894
4, 11, 713.358656
4, 12, 806.755019
8, 2, 687.089141
8, 3, 672.600525
8, 4, 682.585944
8, 5, 679.291594
8, 6, 680.548566
8, 7, 683.888166
8, 8, 678.623213
8, 9, 683.597272
8, 10, 692.042078
8, 11, 726.889550
8, 12, 779.963562
