processes, threads, time
2, 2, 284.607737
2, 3, 340.913712
2, 4, 354.588325
2, 5, 379.991962
2, 6, 460.946563
2, 7, 524.909413
2, 8, 556.145325
2, 9, 696.443363
2, 10, 767.591725
2, 11, 802.211437
2, 12, 871.437638
3, 2, 354.362208
3, 3, 337.504183
3, 4, 391.043883
3, 5, 495.708575
3, 6, 504.187575
3, 7, 594.541433
3, 8, 651.813892
3, 9, 726.585083
3, 10, 838.925742
3, 11, 1489.379125
3, 12, 886.498117
4, 2, 578.944156
4, 3, 583.974581
4, 4, 598.268425
4, 5, 648.414331
4, 6, 656.170231
4, 7, 763.763975
4, 8, 780.605131
4, 9, 938.378812
4, 10, 1004.878938
4, 11, 2090.060994
4, 12, 1208.392969
5, 2, 620.572925
5, 3, 627.497030
5, 4, 640.115120
5, 5, 671.205215
5, 6, 711.617025
5, 7, 791.491075
5, 8, 803.165775
5, 9, 1017.702470
5, 10, 1053.672105
5, 11, 1173.017475
5, 12, 1233.832825
6, 2, 637.278758
6, 3, 652.172925
6, 4, 669.381904
6, 5, 692.420517
6, 6, 803.502983
6, 7, 870.477900
6, 8, 883.539104
6, 9, 999.947629
6, 10, 1072.260900
6, 11, 1190.014104
6, 12, 1324.304096
7, 2, 673.875357
7, 3, 664.092846
7, 4, 691.673329
7, 5, 758.691311
7, 6, 790.034286
7, 7, 847.666154
7, 8, 913.707411
7, 9, 1059.222157
7, 10, 1128.022029
7, 11, 1237.755857
7, 12, 1349.294725
8, 2, 836.194916
8, 3, 878.892141
8, 4, 923.371394
8, 5, 953.604847
8, 6, 1013.347300
8, 7, 1043.163188
8, 8, 1097.194831
8, 9, 1167.530484
8, 10, 1277.836816
8, 11, 1369.243575
8, 12, 1704.262706
